Contest,URL,Fee,Entries,Entries Remaining,Prizepool,Our Entries,Our Entries Remaining,Our Cost,Our Equity,Rules
Kelly's $250K Survivor Madness,https://app.splashsports.com/contest/9eba15b3-e62d-42f0-b399-5957cd33d62c/detail,$25.00,11112,11112,"$250,020.00",150,150,"$3,750.00","$3,375.00","Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
Field of 68 Survivor Madness,https://app.splashsports.com/contest/3f84b670-bd9e-4786-967a-f7cc63821c8c/detail,$25.00,4445,4445,"$100,012.50",133,133,"$3,325.00","$2,992.50","Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
Ryan Hammer's $100K Survivor Madness,https://app.splashsports.com/contest/a68d9a2b-7317-4e43-9ddb-c0fa5f7b96ec/detail,$15.00,7408,7408,"$100,008.00",150,150,"$2,250.00","$2,025.00","Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
Bet The Process Survivor Madness,https://app.splashsports.com/contest/28f81d62-3fac-4c0f-ae18-159a3307d9c5/detail,$100.00,556,556,"$50,040.00",16,16,"$1,600.00","$1,440.00","Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
Ross Tucker's $35K Survivor Madness,https://app.splashsports.com/contest/80db5738-a417-4524-b4a3-24be60c63fd4/detail,$50.00,778,778,"$35,010.00",23,23,"$1,150.00","$1,035.00","Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
Hodes Madness,https://hodesmadness.com/,$46.67,1000,1000,"$43,403.00",21,21,$980.07,$911.46,Pick 3-3-1-1-1-1. Optional pick extra R3 for better tiebreaker
Frank Michael Smith's $30K Survivor Madness,https://app.splashsports.com/contest/96acf9b2-2def-44ee-add0-d67df18ba470/detail,$30.00,1112,1112,"$30,024.00",33,33,$990.00,$891.00,"Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
Kurt Benkert's $100K Survivor Madness,https://app.splashsports.com/contest/b3f535dc-b014-4cd6-93a1-546f800caf1a/detail,$5.00,22223,22223,"$100,003.50",150,150,$750.00,$675.00,"Pick 1 per day, pick 2 days 1,2,7+8 (4-4-2-2-1-1)"
Spooky Express $30K Guaranteed Survivor Madness Contest,https://app.splashsports.com/contest/6cc0a29e-86bb-4a1a-8251-2b581ad80320/detail,$75.00,445,445,"$30,037.50",10,10,$750.00,$675.00,Pick 1 per day (2-2-2-2-1-1). 7/8 not combined so some weirdness here
SGPN $25K Survivor Madness,https://app.splashsports.com/contest/919e7294-fd5d-4ae0-9b87-e8969d657282/detail,$25.00,1112,1112,"$25,020.00",25,25,$625.00,$562.50,"Pick 1 per day, combine day 7/8 but pick 2 (2-2-2-2-1-1)"
MARCH MADNESS SURVIVOR,https://app.splashsports.com/contest/3950c489-4150-4a19-bf01-0056a46d81c1/detail,$10.00,1000,1000,"$8,750.00",10,10,$100.00,$87.50,Pick 1 per day (2-2-2-2-1-1). 7/8 not combined so some weirdness here