team,seed,region,round_of_32,sweet_sixteen,elite_eight,final_four,championship_game,champion,scraped_at
Arizona,1,West,0.987793,0.879373,0.685393,0.515723,0.291294,0.172644,2026-03-17T20:45:52.662240+00:00
Duke,1,East,0.985060,0.848485,0.674828,0.523859,0.312479,0.172644,2026-03-17T20:45:52.662240+00:00
Florida,1,South,0.982422,0.784615,0.588086,0.344371,0.171863,0.082869,2026-03-17T20:45:52.662240+00:00
Michigan,1,Midwest,0.972842,0.862348,0.716570,0.523859,0.296316,0.172644,2026-03-17T20:45:52.662240+00:00
Houston,2,South,0.966345,0.774775,0.495788,0.294118,0.143219,0.069057,2026-03-17T20:45:52.662240+00:00
Iowa State,2,Midwest,0.972842,0.745958,0.497865,0.226884,0.101096,0.048746,2026-03-17T20:45:52.662240+00:00
Purdue,2,West,0.972842,0.732824,0.459996,0.186537,0.078120,0.036030,2026-03-17T20:45:52.662240+00:00
UConn,2,East,0.953926,0.685393,0.403286,0.157895,0.061380,0.026732,2026-03-17T20:45:52.662240+00:00
Gonzaga,3,West,0.943280,0.620607,0.319432,0.111940,0.040920,0.018015,2026-03-17T20:45:52.662240+00:00
Illinois,3,South,0.972842,0.764475,0.384718,0.202350,0.085932,0.039461,2026-03-17T20:45:52.662240+00:00
Michigan State,3,East,0.920245,0.580868,0.314655,0.111940,0.040920,0.016249,2026-03-17T20:45:52.662240+00:00
Virginia,3,Midwest,0.936037,0.535541,0.236364,0.086792,0.027720,0.010904,2026-03-17T20:45:52.662240+00:00
Alabama,4,Midwest,0.859276,0.533090,0.136364,0.063963,0.020959,0.008205,2026-03-17T20:45:52.662240+00:00
Arkansas,4,West,0.903382,0.571184,0.173410,0.095477,0.037362,0.013585,2026-03-17T20:45:52.662240+00:00
Kansas,4,East,0.903382,0.459996,0.126214,0.063963,0.023870,0.008205,2026-03-17T20:45:52.662240+00:00
Nebraska,4,South,0.886076,0.428475,0.135802,0.048525,0.016849,0.004708,2026-03-17T20:45:52.662240+00:00
St. John's,5,East,0.838200,0.495788,0.157895,0.086792,0.033051,0.012556,2026-03-17T20:45:52.662240+00:00
Texas Tech,5,Midwest,0.748359,0.378238,0.087137,0.037483,0.011307,0.004123,2026-03-17T20:45:52.662240+00:00
Vanderbilt,5,South,0.848119,0.526316,0.197568,0.086792,0.030690,0.011672,2026-03-17T20:45:52.662240+00:00
Wisconsin,5,West,0.805680,0.388350,0.111940,0.056720,0.020959,0.008205,2026-03-17T20:45:52.662240+00:00
BYU,6,West,0.552982,0.231138,0.090909,0.027290,0.008508,0.002753,2026-03-17T20:45:52.662240+00:00
Louisville,6,East,0.670438,0.314655,0.145985,0.046177,0.016849,0.006577,2026-03-17T20:45:52.662240+00:00
North Carolina,6,South,0.561244,0.146718,0.046177,0.015152,0.003802,0.001103,2026-03-17T20:45:52.662240+00:00
Tennessee,6,Midwest,0.744681,0.395189,0.173410,0.060206,0.020959,0.008205,2026-03-17T20:45:52.662240+00:00
Kentucky,7,Midwest,0.583604,0.173410,0.079755,0.027290,0.008508,0.002753,2026-03-17T20:45:52.662240+00:00
Miami,7,West,0.540368,0.158879,0.068441,0.021381,0.005691,0.001182,2026-03-17T20:45:52.662240+00:00
Saint Mary's,7,South,0.583604,0.146718,0.060206,0.023926,0.006820,0.002067,2026-03-17T20:45:52.662240+00:00
UCLA,7,East,0.679100,0.248973,0.118644,0.034899,0.011307,0.003667,2026-03-17T20:45:52.662240+00:00
Clemson,8,South,0.435093,0.086792,0.037483,0.013158,0.003802,0.000828,2026-03-17T20:45:52.662240+00:00
Georgia,8,Midwest,0.557522,0.086792,0.042166,0.016161,0.004882,0.001182,2026-03-17T20:45:52.662240+00:00
Ohio State,8,East,0.580249,0.100592,0.048525,0.023926,0.008508,0.002361,2026-03-17T20:45:52.662240+00:00
Villanova,8,West,0.466653,0.051054,0.019608,0.006623,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Iowa,9,South,0.564907,0.136364,0.068736,0.027290,0.008508,0.003302,2026-03-17T20:45:52.662240+00:00
Saint Louis,9,Midwest,0.442478,0.053738,0.024042,0.007937,0.001715,0.000828,2026-03-17T20:45:52.662240+00:00
TCU,9,East,0.419751,0.053738,0.021381,0.009901,0.002855,0.000828,2026-03-17T20:45:52.662240+00:00
Utah State,9,West,0.533347,0.073634,0.031553,0.012346,0.003802,0.001103,2026-03-17T20:45:52.662240+00:00
Missouri,10,West,0.459632,0.112450,0.046177,0.009901,0.002143,0.000828,2026-03-17T20:45:52.662240+00:00
Santa Clara,10,Midwest,0.416396,0.086792,0.031553,0.007937,0.001715,0.000828,2026-03-17T20:45:52.662240+00:00
Texas A&M,10,South,0.416396,0.079755,0.027290,0.007937,0.001430,0.000828,2026-03-17T20:45:52.662240+00:00
UCF,10,East,0.320900,0.073634,0.023926,0.004425,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
SMU,11,Midwest,0.212606,0.073634,0.023926,0.006623,0.001715,0.000828,2026-03-17T20:45:52.662240+00:00
South Florida,11,East,0.329562,0.111940,0.042166,0.009901,0.002143,0.000828,2026-03-17T20:45:52.662240+00:00
Texas,11,West,0.217391,0.079755,0.028849,0.007937,0.001715,0.000828,2026-03-17T20:45:52.662240+00:00
VCU,11,South,0.438756,0.087137,0.023926,0.006623,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Akron,12,Midwest,0.251641,0.079755,0.012346,0.003322,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
High Point,12,West,0.194320,0.034899,0.004425,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
McNeese State,12,South,0.151881,0.046177,0.005682,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Northern Iowa,12,East,0.161800,0.042332,0.004975,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Cal Baptist,13,East,0.096618,0.019608,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Hawaii,13,West,0.096618,0.021381,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Hofstra,13,Midwest,0.140724,0.034899,0.003984,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Troy,13,South,0.113924,0.021381,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Kennesaw State,14,West,0.056720,0.006623,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
North Dakota State,14,East,0.079755,0.014085,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Penn,14,South,0.027158,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Wright State,14,Midwest,0.063963,0.009901,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Furman,15,East,0.046074,0.007937,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Idaho,15,South,0.033655,0.005682,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Queens,15,West,0.027158,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Tennessee State,15,Midwest,0.027158,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
LIU,16,West,0.012207,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Prairie View A&M,16,South,0.012207,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
Siena,16,East,0.014940,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
UMBC,16,Midwest,0.014940,0.004975,0.003322,0.001996,0.001144,0.000828,2026-03-17T20:45:52.662240+00:00
