Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Day 4 (Round of 32),Day 5 (Round of 16),Day 6 (Round of 16),Pick 1,Pick 2,Pick Objective,Instructions,Team Name,Team ID,Game Info
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 2,019d0328-e06f-400b-8784-c7b9921f2379,NA,Illinois,Florida,Arkansas,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Illinois,88938946-3484-432a-8bf9-045860e4f561,IOWA@ILL 03/28/2026 6:09pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 7,019d0328-e06f-40ac-8ded-6e846f416889,NA,Illinois,Virginia,Arkansas,Arizona,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,2. Copy the ID of the team(s),Iowa,7533674c-1b62-4252-9d3e-3de38e7fd3c6,IOWA@ILL 03/28/2026 6:09pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 10,019d0328-e06f-40e2-8885-f21286d344da,NA,Illinois,UConn,Arkansas,Iowa State,Arizona,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Arizona,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,PUR@ARIZ 03/28/2026 8:49pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 30,019d0328-e06f-434f-8b9a-84cf299d8b52,NA,Gonzaga,Kansas,Arkansas,Iowa State,Purdue,Tennessee,88938946-3484-432a-8bf9-045860e4f561,5a449842-a556-4744-9544-b770fe147418,Pick Winners,4. The Team ID is the only text that can be input into the cell,Purdue,b94a5674-927b-4b6d-91bb-776da741e0aa,PUR@ARIZ 03/28/2026 8:49pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 38,019d0328-e06f-43d1-959f-74fe64cbe10d,NA,Houston,Tennessee,Arkansas,Iowa State,Purdue,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",Michigan,5a449842-a556-4744-9544-b770fe147418,TENN@MICH 03/29/2026 2:15pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 41,019d0328-e06f-43e8-b8df-4710f1a29b9d,NA,Houston,Iowa State,Michigan State,Tennessee,Purdue,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,Tennessee,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,TENN@MICH 03/29/2026 2:15pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 58,019d0328-e06f-4618-8eb1-d4c724f8bb32,NA,Houston,St. John's,Arkansas,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,Duke,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,CONN@DUKE 03/29/2026 5:05pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 65,019d0328-e06f-46e8-9726-91c93a678907,NA,Michigan State,Florida,Illinois,Arizona,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,UConn,57ef2016-6591-4b7a-b588-59a749c25529,CONN@DUKE 03/29/2026 5:05pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 72,019d0328-e06f-4862-a4d8-59ec4763a7c3,NA,Michigan State,Iowa State,Houston,St. John's,Purdue,Tennessee,88938946-3484-432a-8bf9-045860e4f561,5a449842-a556-4744-9544-b770fe147418,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 75,019d0328-e06f-48d5-9590-26e27a848e70,NA,Michigan State,Utah State,Illinois,Arizona,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 78,019d0328-e06f-49b1-bafe-ae0442ef7bda,NA,Nebraska,Virginia,Arkansas,Iowa State,Iowa,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 82,019d0328-e06f-4a3d-a7e3-90a4bb40616d,NA,Nebraska,Arizona,Arkansas,St. John's,Iowa,Duke,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 85,019d0328-e06f-4a5a-beea-27843acc2231,NA,Nebraska,Kansas,Arkansas,Arizona,Iowa,Michigan,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 86,019d0328-e06f-4a7b-ab60-8521b2417215,NA,Nebraska,Iowa State,Arkansas,Arizona,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 87,019d0328-e06f-4a96-9aca-dd9a3bd340f1,NA,Nebraska,St. John's,Arkansas,Arizona,Iowa,Duke,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 89,019d0328-e06f-4ae5-99cf-84e2dcaa2401,NA,Nebraska,Arizona,Arkansas,Iowa State,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 96,019d0328-e06f-4c0e-8b4b-6e218c06a7ba,NA,Gonzaga,Alabama,Arkansas,St. John's,Purdue,Duke,7533674c-1b62-4252-9d3e-3de38e7fd3c6,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 99,019d0328-e06f-4c4d-b302-3336a517aecc,NA,Gonzaga,Iowa State,Arkansas,Arizona,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,5a449842-a556-4744-9544-b770fe147418,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 100,019d0328-e06f-4c6f-87d0-3f7f228b3685,NA,Vanderbilt,Florida,Arkansas,Arizona,Iowa,UConn,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 103,019d0328-e06f-4cbb-95a1-295736af9526,NA,Vanderbilt,Virginia,Arkansas,Iowa State,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 108,019d0328-e06f-4d0a-9bb9-de26f043e132,NA,Vanderbilt,Alabama,Arkansas,Iowa State,Purdue,UConn,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
